Tinh/TP,Quan/Huyen,PN,WC,area,floor,Tien_ich,price_
Hà Nội,Hai Bà Trưng,3.0,,36.0,4.0,2,5.2
Hà Nội,Long Biên,,,50.0,1.0,2,4.7
TP Hồ Chí Minh,Tân Phú,4.0,4.0,47.0,4.0,4,5.2
Hà Nội,Cầu Giấy,4.0,6.0,40.0,1.0,2,8.4
TP Hồ Chí Minh,Gò Vấp,2.0,1.0,112.0,2.0,0,7.9
Hà Nội,Cầu Giấy,4.0,,70.0,7.0,1,20.5
Bắc Ninh,Từ Sơn,,,120.0,1.0,2,7.7
TP Hồ Chí Minh,Tân Bình,3.0,3.0,61.0,2.0,1,6.6
TP Hồ Chí Minh,Quận 7,4.0,5.0,80.0,4.0,4,8.5
Hà Nội,Hoàng Mai,,,55.0,3.0,0,4.7
TP Hồ Chí Minh,Quận 9,2.0,0.0,125.0,2.0,0,2.9
TP Hồ Chí Minh,Quận 3,2.0,,43.0,2.0,2,5.4
TP Hồ Chí Minh,Tân Bình,4.0,0.0,48.0,5.0,1,6.5
TP Hồ Chí Minh,Tân Bình,4.0,5.0,84.0,5.0,0,11.1
TP Hồ Chí Minh,Tân Bình,4.0,5.0,37.0,3.0,3,6.1
TP Hồ Chí Minh,Bình Thạnh,3.0,3.0,52.0,2.0,3,6.8
TP Hồ Chí Minh,Tân Phú,3.0,,64.0,2.0,4,5.9
Hà Nội,Hoàng Mai,4.0,4.0,48.0,4.0,0,5.4
Hà Nội,Hoàng Mai,,,80.0,3.0,0,8.2
Hà Nội,Thanh Trì,,,55.0,1.0,2,6.8
Hà Nội,Thanh Xuân,25.0,,86.0,8.0,4,12.0
TP Hồ Chí Minh,Tân Bình,3.0,3.0,45.0,4.0,4,8.0
TP Hồ Chí Minh,Tân Bình,3.0,4.0,45.0,5.0,3,9.4
TP Hồ Chí Minh,Tân Bình,4.0,2.0,48.0,4.0,4,8.8
Ninh Bình,Ninh Bình,2.0,2.0,80.0,5.0,6,4.3
TP Hồ Chí Minh,Tân Bình,3.0,4.0,33.0,4.0,4,5.4
Hà Nội,Cầu Giấy,8.0,8.0,56.0,5.0,3,15.5
TP Hồ Chí Minh,Tân Bình,,,55.0,2.0,2,5.2
Hà Nội,Hoàng Mai,4.0,3.0,48.0,4.0,0,5.5
TP Hồ Chí Minh,Bình Tân,4.0,5.0,60.0,5.0,3,8.2
Hà Nội,Thanh Trì,,,39.0,1.0,3,2.8
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,63.0,2.0,0,7.8
TP Hồ Chí Minh,Thủ Đức,,,38.0,2.0,2,2.7
Hà Nội,Cầu Giấy,6.0,,50.0,1.0,2,9.7
TP Hồ Chí Minh,Thủ Đức,,,74.0,2.0,2,6.9
TP Hồ Chí Minh,Bình Thạnh,4.0,5.0,84.0,3.0,2,10.1
Hà Nội,Thanh Trì,4.0,,45.0,5.0,5,4.8
Hà Nội,Long Biên,1.0,,30.0,5.0,5,2.5
TP Hồ Chí Minh,Phú Nhuận,4.0,4.0,35.0,4.0,2,7.5
TP Hồ Chí Minh,Bình Thạnh,12.0,12.0,70.0,5.0,2,19.5
TP Hồ Chí Minh,Tân Bình,3.0,,60.0,3.0,2,6.5
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,45.0,1.0,5,4.4
TP Hồ Chí Minh,Tân Phú,3.0,4.0,80.0,3.0,3,7.8
TP Hồ Chí Minh,Bình Thạnh,13.0,13.0,95.0,1.0,2,11.4
Hà Nội,Cầu Giấy,3.0,,40.0,1.0,1,4.3
An Giang,Châu Phú,2.0,3.0,12.0,1.0,0,8.7
TP Hồ Chí Minh,Tân Bình,4.0,0.0,52.0,5.0,4,7.0
Thừa Thiên Huế,Huế,4.0,3.0,116.0,3.0,1,6.6
Đà Nẵng,Sơn Trà,3.0,3.0,75.0,3.0,2,4.6
TP Hồ Chí Minh,Gò Vấp,2.0,0.0,36.0,2.0,1,2.9
Hà Nội,Đống Đa,2.0,3.0,28.0,3.0,3,2.5
Hà Nội,Hoàng Mai,3.0,4.0,30.0,5.0,3,4.1
Hà Nội,Hà Đông,6.0,6.0,44.0,4.0,0,5.5
Hà Nội,Đống Đa,,,70.0,3.0,2,7.5
Hà Nội,Đống Đa,5.0,5.0,49.0,5.0,1,9.0
Hà Nội,Hoàng Mai,3.0,4.0,40.0,6.0,4,6.8
Hà Nội,Tây Hồ,5.0,,41.0,5.0,0,9.0
Đà Nẵng,Hải Châu,2.0,2.0,64.0,1.0,4,5.2
TP Hồ Chí Minh,Tân Bình,4.0,,85.0,5.0,5,8.9
TP Hồ Chí Minh,Tân Phú,2.0,,66.0,4.0,2,6.8
Hà Nội,Hà Đông,2.0,2.0,62.0,1.0,2,3.7
TP Hồ Chí Minh,Quận 10,6.0,,60.0,4.0,3,18.0
Đà Nẵng,Thanh Khê,3.0,3.0,50.0,3.0,1,3.5
TP Hồ Chí Minh,Thủ Đức,6.0,6.0,90.0,4.0,1,11.6
Hà Nội,Long Biên,5.0,0.0,30.0,5.0,3,4.7
TP Hồ Chí Minh,Tân Bình,3.0,3.0,64.0,2.0,3,7.2
Hà Nội,Nam Từ Liêm,3.0,2.0,60.0,3.0,3,3.3
Hà Nội,Cầu Giấy,,,35.0,5.0,2,4.2
TP Hồ Chí Minh,Quận 7,4.0,5.0,106.0,3.0,2,12.0
TP Hồ Chí Minh,Tân Bình,4.0,5.0,70.0,4.0,1,12.2
TP Hồ Chí Minh,Quận 7,2.0,2.0,144.0,1.0,1,23.0
Hà Nội,Cầu Giấy,2.0,,45.0,1.0,1,3.8
Hà Nội,Hoàng Mai,5.0,4.0,56.0,1.0,1,4.9
TP Hồ Chí Minh,Bình Tân,4.0,3.0,72.0,1.0,2,7.4
Hà Nội,Hoàng Mai,4.0,3.0,55.0,4.0,1,5.5
Hà Nội,Hoàng Mai,3.0,4.0,32.0,5.0,4,4.3
Đồng Nai,Biên Hòa,,,144.0,3.0,0,7.3
Hà Nội,Đống Đa,2.0,,28.0,3.0,1,2.1
Hà Nội,Hai Bà Trưng,4.0,,80.0,1.0,3,6.4
Hà Nội,Đống Đa,2.0,,225.0,6.0,2,115.0
Hà Nội,Đống Đa,2.0,,70.0,8.0,1,10.0
Hà Nội,Hà Đông,4.0,3.0,40.0,5.0,2,6.3
Hà Nội,Cầu Giấy,3.0,,45.0,1.0,1,5.5
TP Hồ Chí Minh,Gò Vấp,6.0,0.0,100.0,4.0,3,15.0
TP Hồ Chí Minh,Gò Vấp,,,60.0,2.0,2,5.7
TP Hồ Chí Minh,Thủ Đức,2.0,0.0,79.0,1.0,0,4.6
TP Hồ Chí Minh,Tân Phú,3.0,4.0,68.0,4.0,2,7.9
TP Hồ Chí Minh,Quận 9,4.0,0.0,379.0,1.0,0,21.0
Hà Nội,Hai Bà Trưng,,,40.0,5.0,4,6.5
Hà Nội,Long Biên,,,33.5,2.0,3,3.3
Hà Nội,Thanh Trì,,,33.0,1.0,1,4.4
TP Hồ Chí Minh,Gò Vấp,,,60.0,3.0,2,6.2
